tier	match	us	file	line	zone	context
V	forwards	forward	.feedback-worker/README.md	71	doc	address forwards to must show **Verified**. If it is not listed, a
S	renormalises	renormalizes	.gitattributes	3	doc	# it renormalises every tracked file at once.
V	forwards	forward	.githooks/install	51	doc	s/pre-commit in the working tree being committed; this only forwards to it.
S	normalised	normalized	.githooks/install	28	doc	# are normalised because git reports Windows paths with them and s
S	modelling	modeled / modeling	.planning/FILE_DIRECTORY.md	93	doc	, who they are for, the tax-torpedo explainer, FAQ, and the modelling caveats. |
I	ticked	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/FILE_DIRECTORY.md	54	doc	afe-key list, the full plan link and a screenshot only when ticked), captures the page with a pinned, hash-checked `
I	in Future	in the future (vet: "in future years" is fine)	.planning/IRAprojection.spec.txt	97	doc	urple #a78bfa [2,3]    yWd   — flat in Today's $, inflating in Future $
V	Afterwards	afterward	.planning/retirement-optimizer/MERGE_PR182_IRMAA.md	33	doc	structural claim showing through cleanly. Afterwards the feedback loop opens and MAGI drifts.
S	honoured	honor	.planning/retirement-optimizer/findings.md	1009	doc	`INFLATION_INDEXED: false` (set on AL, MT, ND, OH, SC) is honoured only for *brackets*, at
S	centre	center	.planning/retirement-optimizer/findings.md	1713	doc	spend to seven figures.** The reported centre moves a full point, from 6.051% to 7.000%, and th
S	centre	center	.planning/retirement-optimizer/findings.md	1720	doc	higher centre and delivering a lower balance is exactly the con
S	centres	center	.planning/retirement-optimizer/findings.md	3069	doc	- The corrected count c = q(N + 1) centres 99% at every N but, at N = 100, makes it the wors
S	analyses	analyze (check: "analyses" as a plural noun is fine)	.planning/retirement-optimizer/findings.md	323	doc	**4. Coverage now: basis 20-80% swept for the 45-cell grid analyses and the oracle; Q1 ladder
S	modelled	modeled / modeling	.planning/retirement-optimizer/findings.md	51	doc	arithmetic was wrong; the modelled transaction was simply not permitted. Before beli
S	modelling	modeled / modeling	.planning/retirement-optimizer/findings.md	1346	doc	e SALT limit is high now but falls to $10k in 2029/2030; is modelling
